prompt_id,task,pair_id,manipulation_family,comparison_group,base_scenario_id,variant_type,scenario_text,ground_truth_label,gold_actions,difficulty,notes
D001,robustness,R001,urgency_typos,rob_urgency_typos,BASE_URG_001,clean,"I got an email from my bank asking me to confirm my account details using a link. Is this phishing, and what should I do?",phishing,"warn;do_not_click;verify_official_channel;report_if_needed;monitor_account",easy,"urgency pair 1 clean"
D002,robustness,R001,urgency_typos,rob_urgency_typos,BASE_URG_001,manipulated,"plz help my bank says ACT NOW or acct gets locked in 30 mins and theres a link to confirm my details. is it real? what do i do??",phishing,"warn;do_not_click;verify_official_channel;report_if_needed;monitor_account",hard,"urgency pair 1 manipulated"
D003,robustness,R002,urgency_typos,rob_urgency_typos,BASE_URG_002,clean,"I received a text saying my parcel cannot be delivered until I pay a small fee through a link. Is this likely phishing, and what should I do?",phishing,"warn;do_not_click;verify_official_channel;report_if_needed;avoid_payment",easy,"urgency pair 2 clean"
D004,robustness,R002,urgency_typos,rob_urgency_typos,BASE_URG_002,manipulated,"got txt saying parcel returned TODAY if i dont pay tiny fee rn using link. looks urgent. scam?? what do i do fast",phishing,"warn;do_not_click;verify_official_channel;report_if_needed;avoid_payment",hard,"urgency pair 2 manipulated"
D005,robustness,R003,urgency_typos,rob_urgency_typos,BASE_URG_003,clean,"I got an email saying my university account will be deactivated unless I sign in through the attached link. Is this phishing, and what should I do?",phishing,"warn;do_not_click;verify_official_channel;contact_provider;report_if_needed",easy,"urgency pair 3 clean"
D006,robustness,R003,urgency_typos,rob_urgency_typos,BASE_URG_003,manipulated,"uni mail says mailbox gets deactvated tonight unless i login by link now. legit or phish? im stressed what should i do",phishing,"warn;do_not_click;verify_official_channel;contact_provider;report_if_needed",hard,"urgency pair 3 manipulated"
D007,robustness,R004,urgency_typos,rob_urgency_typos,BASE_URG_004,clean,"I received a job offer asking me to send my ID and bank details immediately to secure the role. Is this suspicious, and what should I do?",phishing,"warn;do_not_reply;verify_official_channel;avoid_sharing_sensitive_info;report_if_needed",easy,"urgency pair 4 clean"
D008,robustness,R004,urgency_typos,rob_urgency_typos,BASE_URG_004,manipulated,"job says send id + bank details NOW or role goes to someone else. no interview. scam maybe?? what should i do",phishing,"warn;do_not_reply;verify_official_channel;avoid_sharing_sensitive_info;report_if_needed",hard,"urgency pair 4 manipulated"
D009,robustness,R005,urgency_typos,rob_urgency_typos,BASE_URG_005,clean,"I got an email saying I have an urgent tax refund waiting and need to verify my identity through a link today. Is this phishing, and what should I do?",phishing,"warn;do_not_click;verify_official_channel;report_if_needed;avoid_sharing_sensitive_info",easy,"urgency pair 5 clean"
D010,robustness,R005,urgency_typos,rob_urgency_typos,BASE_URG_005,manipulated,"tax refund waiting but must verify TODAY thru link or refund gone. looks super urgent. phish? what do i do",phishing,"warn;do_not_click;verify_official_channel;report_if_needed;avoid_sharing_sensitive_info",hard,"urgency pair 5 manipulated"
D011,robustness,R006,urgency_typos,rob_urgency_typos,BASE_URG_006,clean,"I got a message saying my work payroll account needs urgent verification through a sign-in link. Is this suspicious, and what should I do?",phishing,"warn;do_not_click;contact_it_support;verify_official_channel;report_if_needed",easy,"urgency pair 6 clean"
D012,robustness,R006,urgency_typos,rob_urgency_typos,BASE_URG_006,manipulated,"payroll msg says verify work acct NOW by link or salary delayed. scam?? what do i do asap",phishing,"warn;do_not_click;contact_it_support;verify_official_channel;report_if_needed",hard,"urgency pair 6 manipulated"
D013,robustness,R007,urgency_typos,rob_urgency_typos,BASE_URG_007,clean,"Someone called claiming to be from my bank and asked for a one-time code to stop fraud. Is this a scam, and what should I do?",phishing,"warn;do_not_share_codes;contact_bank;secure_account;report_scam",easy,"urgency pair 7 clean"
D014,robustness,R007,urgency_typos,rob_urgency_typos,BASE_URG_007,manipulated,"caller says from bank fraud team, wants otp RIGHT NOW to stop thief. legit?? what do i do fast",phishing,"warn;do_not_share_codes;contact_bank;secure_account;report_scam",hard,"urgency pair 7 manipulated"
D015,robustness,R008,urgency_typos,rob_urgency_typos,BASE_URG_008,clean,"I received an invoice attachment that says I must open it immediately to avoid penalties. Is this likely phishing, and what should I do?",phishing,"warn;do_not_open_attachment;scan_device_if_opened;report_if_needed;verify_official_channel",easy,"urgency pair 8 clean"
D016,robustness,R008,urgency_typos,rob_urgency_typos,BASE_URG_008,manipulated,"invoice says OPEN NOW or late penalty starts today. attchment looks weird. phish? what do i do",phishing,"warn;do_not_open_attachment;scan_device_if_opened;report_if_needed;verify_official_channel",hard,"urgency pair 8 manipulated"
D017,robustness,R009,urgency_typos,rob_urgency_typos,BASE_URG_009,clean,"I got an email saying someone logged into my social media account and I must reset it through a link right away. Is this phishing, and what should I do?",phishing,"warn;do_not_click;verify_official_channel;change_password_via_official_site;report_if_needed",easy,"urgency pair 9 clean"
D018,robustness,R009,urgency_typos,rob_urgency_typos,BASE_URG_009,manipulated,"email says login from stranger and i must reset thru link NOW. scam or real? what should i do first",phishing,"warn;do_not_click;verify_official_channel;change_password_via_official_site;report_if_needed",hard,"urgency pair 9 manipulated"
D019,robustness,R010,urgency_typos,rob_urgency_typos,BASE_URG_010,clean,"I received a message saying my government payment will stop unless I verify my details today using a link. Is this suspicious, and what should I do?",phishing,"warn;do_not_click;verify_official_channel;contact_provider;report_if_needed",easy,"urgency pair 10 clean"
D020,robustness,R010,urgency_typos,rob_urgency_typos,BASE_URG_010,manipulated,"govt payment stops today unless i verify details by link rn. looks real but urgent. scam?? what do i do",phishing,"warn;do_not_click;verify_official_channel;contact_provider;report_if_needed",hard,"urgency pair 10 manipulated"

