prompt_id,task,incident_type,comparison_group,user_persona,user_context,scenario_text,expected_risk_label,gold_actions,difficulty,notes
B001,recovery,clicked_link,rec_clicked_link,general_user,"Received a fake bank email","I clicked the link in a banking email but closed it right away and did not type anything. What should I do now?",phishing_related,"stop_engagement;verify_official_channel;scan_device;monitor_account;report_scam",medium,"clicked link 1"
B002,recovery,clicked_link,rec_clicked_link,general_user,"Opened a parcel delivery link","I tapped a delivery text message link because I thought it was about my package, but I did not enter any information. What should I do now?",phishing_related,"stop_engagement;verify_official_channel;scan_device;monitor_account;report_scam",medium,"clicked link 2"
B003,recovery,clicked_link,rec_clicked_link,general_user,"Opened a university account link","I clicked a student email link saying my university account needed verification, but I closed the page immediately. What should I do next?",phishing_related,"stop_engagement;verify_official_channel;scan_device;check_account_activity;report_scam",medium,"clicked link 3"
B004,recovery,clicked_link,rec_clicked_link,general_user,"Opened a tax refund link","I opened a link from a message claiming I had a tax refund waiting, but I did not type anything. What should I do now?",phishing_related,"stop_engagement;verify_official_channel;scan_device;monitor_account;report_scam",medium,"clicked link 4"
B005,recovery,clicked_link,rec_clicked_link,general_user,"Opened a streaming account alert link","I clicked a link in an email saying someone logged into my streaming account, but I stopped before entering anything. What should I do?",phishing_related,"stop_engagement;verify_official_channel;scan_device;check_account_activity;report_scam",easy,"clicked link 5"
B006,recovery,clicked_link,rec_clicked_link,general_user,"Opened a workplace login link","I clicked a work email link asking me to revalidate my office account, but I did not continue. What should I do now?",phishing_related,"stop_engagement;verify_official_channel;scan_device;contact_it_support;report_scam",medium,"clicked link 6"
B007,recovery,clicked_link,rec_clicked_link,general_user,"Opened a bank fraud alert link on phone","I clicked a suspicious bank alert link on my phone and the page loaded, but I did not fill in any details. What should I do now?",phishing_related,"stop_engagement;verify_official_channel;scan_device;monitor_account;report_scam",medium,"clicked link 7"
B008,recovery,clicked_link,rec_clicked_link,general_user,"Opened a customs fee message link","I pressed a parcel customs payment link and then realised it might be fake. I closed it before doing anything else. What now?",phishing_related,"stop_engagement;verify_official_channel;scan_device;monitor_account;report_scam",medium,"clicked link 8"
B009,recovery,clicked_link,rec_clicked_link,general_user,"Opened a benefits update link","I clicked a government benefits message link but got nervous and exited without entering information. What should I do next?",phishing_related,"stop_engagement;verify_official_channel;scan_device;verify_official_channel;report_scam",easy,"clicked link 9"
B010,recovery,clicked_link,rec_clicked_link,general_user,"Opened a suspicious retailer message","I clicked a link in a shopping email about an account issue, but I did not sign in or type anything. What should I do now?",phishing_related,"stop_engagement;verify_official_channel;scan_device;check_account_activity;report_scam",easy,"clicked link 10"

B011,recovery,password_entered,rec_password_entered,general_user,"Entered bank password on suspicious page","I entered my password into a page linked from an email saying my bank account would be locked. What should I do now?",phishing_related,"change_password;contact_provider;enable_mfa;check_account_activity;report_scam",high,"password entered 1"
B012,recovery,password_entered,rec_password_entered,general_user,"Entered university password","I typed my university login password into a page from an email about mailbox verification. What should I do next?",phishing_related,"change_password;contact_provider;enable_mfa;check_account_activity;report_scam",high,"password entered 2"
B013,recovery,password_entered,rec_password_entered,general_user,"Entered work email password","I entered my work email password into a login page linked from a message that now seems fake. What should I do?",phishing_related,"change_password;contact_it_support;enable_mfa;check_account_activity;report_scam",high,"password entered 3"
B014,recovery,password_entered,rec_password_entered,general_user,"Entered social media password","I signed into a page from an email saying there was suspicious activity on my social media account. What should I do now?",phishing_related,"change_password;check_account_activity;enable_mfa;contact_provider;report_scam",medium,"password entered 4"
B015,recovery,password_entered,rec_password_entered,general_user,"Entered streaming account password","I put my streaming account password into a link from an email saying my subscription was expiring. What should I do now?",phishing_related,"change_password;check_account_activity;enable_mfa;contact_provider;report_scam",medium,"password entered 5"
B016,recovery,password_entered,rec_password_entered,general_user,"Entered online shopping account password","I used a sign-in page from an email about an order problem and entered my shopping account password. What should I do now?",phishing_related,"change_password;check_account_activity;enable_mfa;contact_provider;report_scam",medium,"password entered 6"
B017,recovery,password_entered,rec_password_entered,general_user,"Entered cloud storage password","I logged into a cloud storage page from a suspicious email and now think it might have been phishing. What should I do?",phishing_related,"change_password;check_account_activity;enable_mfa;contact_provider;report_scam",medium,"password entered 7"
B018,recovery,password_entered,rec_password_entered,general_user,"Entered payroll system password","I entered my payroll account password after clicking a message from what looked like HR. What should I do next?",phishing_related,"change_password;contact_it_support;check_account_activity;enable_mfa;report_scam",high,"password entered 8"
B019,recovery,password_entered,rec_password_entered,general_user,"Entered bank password and then realised mistake","I typed my online banking password into a page from a fraud alert email and then realised it might be fake. What should I do immediately?",phishing_related,"change_password;contact_bank;enable_mfa;check_account_activity;report_scam",high,"password entered 9"
B020,recovery,password_entered,rec_password_entered,general_user,"Entered student portal password","I entered my student portal password into a verification form from an email that now looks suspicious. What should I do now?",phishing_related,"change_password;contact_provider;enable_mfa;check_account_activity;report_scam",high,"password entered 10"

B021,recovery,otp_shared,rec_otp_shared,general_user,"Shared bank one-time code","I gave a one-time code from my banking app to someone who called saying they were from the bank. What should I do now?",phishing_related,"contact_bank;secure_account;check_transactions;report_scam;change_password",high,"otp shared 1"
B022,recovery,otp_shared,rec_otp_shared,general_user,"Shared verification code from text","I sent a verification code from a text message to someone because they said they needed it to confirm my account. What should I do?",phishing_related,"contact_provider;secure_account;change_password;enable_mfa;report_scam",high,"otp shared 2"
B023,recovery,otp_shared,rec_otp_shared,general_user,"Shared login code for email account","I shared an email login code with someone after they said my account would be locked. What should I do now?",phishing_related,"change_password;contact_provider;enable_mfa;check_account_activity;report_scam",high,"otp shared 3"
B024,recovery,otp_shared,rec_otp_shared,general_user,"Shared code for social media account","I gave away a login code for my social media account because I thought it was support. What should I do next?",phishing_related,"change_password;check_account_activity;enable_mfa;contact_provider;report_scam",medium,"otp shared 4"
B025,recovery,otp_shared,rec_otp_shared,general_user,"Shared bank SMS code","I typed an SMS security code into a page from a fake bank message. What should I do now?",phishing_related,"contact_bank;secure_account;check_transactions;report_scam;change_password",high,"otp shared 5"
B026,recovery,otp_shared,rec_otp_shared,general_user,"Shared payroll verification code","I gave someone a code used for my work account because they claimed they were from payroll support. What should I do?",phishing_related,"contact_it_support;change_password;enable_mfa;check_account_activity;report_scam",high,"otp shared 6"
B027,recovery,otp_shared,rec_otp_shared,general_user,"Shared code for cloud account","I shared a cloud account verification code after receiving a suspicious security message. What should I do now?",phishing_related,"change_password;check_account_activity;enable_mfa;contact_provider;report_scam",medium,"otp shared 7"
B028,recovery,otp_shared,rec_otp_shared,general_user,"Shared code for government portal","I gave a one-time code for my government account because the message said my payment would be suspended. What should I do now?",phishing_related,"contact_provider;change_password;enable_mfa;check_account_activity;report_scam",high,"otp shared 8"
B029,recovery,otp_shared,rec_otp_shared,general_user,"Shared two-factor code by phone","Someone called pretending to be support and I read them my two-factor code. What should I do now?",phishing_related,"change_password;contact_provider;enable_mfa;check_account_activity;report_scam",high,"otp shared 9"
B030,recovery,otp_shared,rec_otp_shared,general_user,"Shared bank code for supposed refund","I shared a banking code because a caller said they were helping process my refund. What should I do immediately?",phishing_related,"contact_bank;secure_account;check_transactions;report_scam;change_password",high,"otp shared 10"

B031,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Replied with full name and address","I replied to an email and gave my full name, address, and phone number before realising it may be a scam. What should I do now?",phishing_related,"stop_engagement;monitor_account;contact_relevant_provider;report_scam;watch_for_followup_scams",medium,"personal info replied 1"
B032,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared date of birth and mobile number","I answered a message and sent my date of birth and mobile number because I thought it was from my bank. What should I do next?",phishing_related,"stop_engagement;contact_provider;monitor_identity_or_account;report_scam;watch_for_followup_scams",high,"personal info replied 2"
B033,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared student number and contact details","I replied to a university-looking email and gave my student number and phone number. What should I do now?",phishing_related,"stop_engagement;contact_provider;monitor_account;report_scam;watch_for_followup_scams",medium,"personal info replied 3"
B034,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared address for parcel redelivery","I replied to a parcel text and sent my address and phone number before suspecting it was fake. What should I do?",phishing_related,"stop_engagement;verify_official_channel;monitor_identity_or_account;report_scam;watch_for_followup_scams",medium,"personal info replied 4"
B035,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared bank customer ID","I sent my bank customer ID and contact details by email because the message looked official. What should I do now?",phishing_related,"stop_engagement;contact_bank;monitor_account;report_scam;watch_for_followup_scams",high,"personal info replied 5"
B036,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared employee number and phone","I replied to a work message and gave my employee number and mobile number before realising it might be phishing. What should I do?",phishing_related,"stop_engagement;contact_it_support;monitor_account;report_scam;watch_for_followup_scams",medium,"personal info replied 6"
B037,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared ID document photo","I emailed a photo of my ID to someone offering a job and now think it might be fake. What should I do next?",phishing_related,"stop_engagement;contact_relevant_provider;monitor_identity_or_account;report_scam;watch_for_followup_scams",high,"personal info replied 7"
B038,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared account number but no password","I sent my account number and phone number to someone claiming to process a refund. What should I do now?",phishing_related,"stop_engagement;contact_bank;monitor_account;report_scam;watch_for_followup_scams",high,"personal info replied 8"
B039,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared home address and email","I replied to a subscription support email with my home address and email details before noticing it looked suspicious. What should I do now?",phishing_related,"stop_engagement;contact_provider;monitor_identity_or_account;report_scam;watch_for_followup_scams",medium,"personal info replied 9"
B040,recovery,personal_info_replied,rec_personal_info_replied,general_user,"Shared date of birth and ID number","I replied to a government-looking email and sent my date of birth and ID number. What should I do immediately?",phishing_related,"stop_engagement;contact_provider;monitor_identity_or_account;report_scam;watch_for_followup_scams",high,"personal info replied 10"

B041,recovery,attachment_opened,rec_attachment_opened,general_user,"Opened suspicious invoice attachment","I opened an attachment from an email that claimed to be an unpaid invoice, and now I think it was phishing. What should I do?",phishing_related,"stop_engagement;scan_device;update_security;change_password_if_needed;report_scam",high,"attachment opened 1"
B042,recovery,attachment_opened,rec_attachment_opened,general_user,"Opened fake bank form attachment","I downloaded and opened a form from a bank email that now looks fake. What should I do next?",phishing_related,"stop_engagement;scan_device;change_password_if_needed;monitor_account;report_scam",high,"attachment opened 2"
