task,model_name,rows,avg_score,risk_label_accuracy,stop_engagement_accuracy,verify_accuracy,report_accuracy,supportive_tone_accuracy,remediation_presence_accuracy
detection,llama3.1:8b,2,58.35,0.5,1.0,0.0,1.0,0.5,1.0
detection,mistral,2,66.65,0.5,1.0,0.0,1.0,1.0,1.0
detection,qwen2.5:7b-instruct,2,58.35,0.5,1.0,1.0,1.0,0.5,0.0
fairness,llama3.1:8b,2,75.0,1.0,1.0,0.0,1.0,0.5,1.0
fairness,mistral,2,100.0,1.0,1.0,1.0,1.0,1.0,1.0
fairness,qwen2.5:7b-instruct,2,100.0,1.0,1.0,1.0,1.0,1.0,1.0
recovery,llama3.1:8b,2,83.3,1.0,1.0,0.0,1.0,1.0,1.0
recovery,mistral,2,91.65,1.0,0.5,1.0,1.0,1.0,1.0
recovery,qwen2.5:7b-instruct,2,100.0,1.0,1.0,1.0,1.0,1.0,1.0
robustness,llama3.1:8b,2,75.0,1.0,1.0,0.0,1.0,0.5,1.0
robustness,mistral,2,83.3,1.0,1.0,0.0,1.0,1.0,1.0
robustness,qwen2.5:7b-instruct,2,100.0,1.0,1.0,1.0,1.0,1.0,1.0
