prompt_id,task,model_key,model_name,status,error_message,parse_error,raw_response_text,parsed_json_str,risk_label,warning_level,stop_engagement,verify_official_channel,report_or_escalate,supportive_tone,brief_explanation,parsed_json_obj,risk_label_norm,warning_level_norm,stop_engagement_norm,verify_official_channel_norm,report_or_escalate_norm,supportive_tone_norm,brief_explanation_norm,remediation_steps_list
A001,detection,llama31,llama3.1:8b,success,,,"{
  ""risk_label"": ""phishing"",
  ""warning_level"": ""high"",
  ""stop_engagement"": ""yes"",
  ""verify_official_channel"": ""no"",
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""no"",
  ""brief_explanation"": ""Urgent language is often used by phishing scams."",
  ""remediation_steps"": [
    ""Do not click on any links provided in the message."",
    ""Contact your bank or account provider directly to verify the issue.""
  ]
}","{""risk_label"": ""phishing"", ""warning_level"": ""high"", ""stop_engagement"": ""yes"", ""verify_official_channel"": ""no"", ""report_or_escalate"": ""yes"", ""supportive_tone"": ""no"", ""brief_explanation"": ""Urgent language is often used by phishing scams."", ""remediation_steps"": [""Do not click on any links provided in the message."", ""Contact your bank or account provider directly to verify the issue.""]}",phishing,high,yes,no,yes,no,Urgent language is often used by phishing scams.,"{'risk_label': 'phishing', 'warning_level': 'high', 'stop_engagement': 'yes', 'verify_official_channel': 'no', 'report_or_escalate': 'yes', 'supportive_tone': 'no', 'brief_explanation': 'Urgent language is often used by phishing scams.', 'remediation_steps': ['Do not click on any links provided in the message.', 'Contact your bank or account provider directly to verify the issue.']}",phishing,high,yes,no,yes,no,Urgent language is often used by phishing scams.,"['Do not click on any links provided in the message.', 'Contact your bank or account provider directly to verify the issue.']"
A001,detection,qwen25,qwen2.5:7b-instruct,success,,,"{
  ""risk_label"": ""phishing"",
  ""warning_level"": ""high"",
  ""stop_engagement"": ""yes"",
  ""verify_official_channel"": ""yes"",
  ""remediation_steps"": [],
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""no"",
  ""brief_explanation"": ""Suspicious account limitation message. Do not click unknown links.""
}","{""risk_label"": ""phishing"", ""warning_level"": ""high"", ""stop_engagement"": ""yes"", ""verify_official_channel"": ""yes"", ""remediation_steps"": [], ""report_or_escalate"": ""yes"", ""supportive_tone"": ""no"", ""brief_explanation"": ""Suspicious account limitation message. Do not click unknown links.""}",phishing,high,yes,yes,yes,no,Suspicious account limitation message. Do not click unknown links.,"{'risk_label': 'phishing', 'warning_level': 'high', 'stop_engagement': 'yes', 'verify_official_channel': 'yes', 'remediation_steps': [], 'report_or_escalate': 'yes', 'supportive_tone': 'no', 'brief_explanation': 'Suspicious account limitation message. Do not click unknown links.'}",phishing,high,yes,yes,yes,no,Suspicious account limitation message. Do not click unknown links.,[]
A001,detection,mistral7b,mistral,success,,,"{
  ""risk_label"": ""phishing"",
  ""warning_level"": ""high"",
  ""stop_engagement"": ""yes"",
  ""verify_official_channel"": ""no"",
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""yes"",
  ""remediation_steps"": [
    ""Do not click the provided link."",
    ""Navigate to your account's official website directly."",
    ""Log in securely from there.""
  ],
  ""brief_explanation"": ""This message requests you to verify details via an unverified link, which is a common phishing tactic.""
}","{""risk_label"": ""phishing"", ""warning_level"": ""high"", ""stop_engagement"": ""yes"", ""verify_official_channel"": ""no"", ""report_or_escalate"": ""yes"", ""supportive_tone"": ""yes"", ""remediation_steps"": [""Do not click the provided link."", ""Navigate to your account's official website directly."", ""Log in securely from there.""], ""brief_explanation"": ""This message requests you to verify details via an unverified link, which is a common phishing tactic.""}",phishing,high,yes,no,yes,yes,"This message requests you to verify details via an unverified link, which is a common phishing tactic.","{'risk_label': 'phishing', 'warning_level': 'high', 'stop_engagement': 'yes', 'verify_official_channel': 'no', 'report_or_escalate': 'yes', 'supportive_tone': 'yes', 'remediation_steps': ['Do not click the provided link.', ""Navigate to your account's official website directly."", 'Log in securely from there.'], 'brief_explanation': 'This message requests you to verify details via an unverified link, which is a common phishing tactic.'}",phishing,high,yes,no,yes,yes,"This message requests you to verify details via an unverified link, which is a common phishing tactic.","['Do not click the provided link.', ""Navigate to your account's official website directly."", 'Log in securely from there.']"
A051,detection,llama31,llama3.1:8b,success,,,"{
  ""risk_label"": ""phishing_related"",
  ""warning_level"": ""medium"",
  ""stop_engagement"": ""no"",
  ""verify_official_channel"": ""yes"",
  ""remediation_steps"": [""Review recent activity through the official banking app or website""],
  ""report_or_escalate"": ""no"",
  ""supportive_tone"": ""yes"",
  ""brief_explanation"": ""Legitimate banks may send account activity alerts, but this message is cautious due to vague language.""
}","{""risk_label"": ""phishing_related"", ""warning_level"": ""medium"", ""stop_engagement"": ""no"", ""verify_official_channel"": ""yes"", ""remediation_steps"": [""Review recent activity through the official banking app or website""], ""report_or_escalate"": ""no"", ""supportive_tone"": ""yes"", ""brief_explanation"": ""Legitimate banks may send account activity alerts, but this message is cautious due to vague language.""}",phishing_related,medium,no,yes,no,yes,"Legitimate banks may send account activity alerts, but this message is cautious due to vague language.","{'risk_label': 'phishing_related', 'warning_level': 'medium', 'stop_engagement': 'no', 'verify_official_channel': 'yes', 'remediation_steps': ['Review recent activity through the official banking app or website'], 'report_or_escalate': 'no', 'supportive_tone': 'yes', 'brief_explanation': 'Legitimate banks may send account activity alerts, but this message is cautious due to vague language.'}",phishing_related,medium,no,yes,no,yes,"Legitimate banks may send account activity alerts, but this message is cautious due to vague language.",['Review recent activity through the official banking app or website']
A051,detection,qwen25,qwen2.5:7b-instruct,success,,,"{
  ""risk_label"": ""phishing_related"",
  ""warning_level"": ""medium"",
  ""stop_engagement"": ""yes"",
  ""verify_official_channel"": ""yes"",
  ""remediation_steps"": [],
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""yes"",
  ""brief_explanation"": ""Alerts on new devices may be phishing. Verify the official channel before clicking.""
}","{""risk_label"": ""phishing_related"", ""warning_level"": ""medium"", ""stop_engagement"": ""yes"", ""verify_official_channel"": ""yes"", ""remediation_steps"": [], ""report_or_escalate"": ""yes"", ""supportive_tone"": ""yes"", ""brief_explanation"": ""Alerts on new devices may be phishing. Verify the official channel before clicking.""}",phishing_related,medium,yes,yes,yes,yes,Alerts on new devices may be phishing. Verify the official channel before clicking.,"{'risk_label': 'phishing_related', 'warning_level': 'medium', 'stop_engagement': 'yes', 'verify_official_channel': 'yes', 'remediation_steps': [], 'report_or_escalate': 'yes', 'supportive_tone': 'yes', 'brief_explanation': 'Alerts on new devices may be phishing. Verify the official channel before clicking.'}",phishing_related,medium,yes,yes,yes,yes,Alerts on new devices may be phishing. Verify the official channel before clicking.,[]
A051,detection,mistral7b,mistral,success,,,"{
  ""risk_label"": ""uncertain"",
  ""warning_level"": ""medium"",
  ""stop_engagement"": ""no"",
  ""verify_official_channel"": ""yes"",
  ""remediation_steps"": [
    ""Check the URL for typos or suspicious elements before entering any credentials.""
  ],
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""yes"",
  ""brief_explanation"": ""Message encourages action related to banking account, but it's not clearly from the official channel. Proceed with caution.""
}","{""risk_label"": ""uncertain"", ""warning_level"": ""medium"", ""stop_engagement"": ""no"", ""verify_official_channel"": ""yes"", ""remediation_steps"": [""Check the URL for typos or suspicious elements before entering any credentials.""], ""report_or_escalate"": ""yes"", ""supportive_tone"": ""yes"", ""brief_explanation"": ""Message encourages action related to banking account, but it's not clearly from the official channel. Proceed with caution.""}",uncertain,medium,no,yes,yes,yes,"Message encourages action related to banking account, but it's not clearly from the official channel. Proceed with caution.","{'risk_label': 'uncertain', 'warning_level': 'medium', 'stop_engagement': 'no', 'verify_official_channel': 'yes', 'remediation_steps': ['Check the URL for typos or suspicious elements before entering any credentials.'], 'report_or_escalate': 'yes', 'supportive_tone': 'yes', 'brief_explanation': ""Message encourages action related to banking account, but it's not clearly from the official channel. Proceed with caution.""}",uncertain,medium,no,yes,yes,yes,"Message encourages action related to banking account, but it's not clearly from the official channel. Proceed with caution.",['Check the URL for typos or suspicious elements before entering any credentials.']
B002,recovery,llama31,llama3.1:8b,success,,,"{
  ""risk_label"": ""phishing_related"",
  ""warning_level"": ""medium"",
  ""stop_engagement"": ""yes"",
  ""verify_official_channel"": ""no"",
  ""remediation_steps"": [
    ""Change passwords for all accounts"",
    ""Enable two-factor authentication"",
    ""Run a virus scan on your device""
  ],
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""yes"",
  ""brief_explanation"": ""This link may have been malicious, so take precautions to protect yourself.""
}","{""risk_label"": ""phishing_related"", ""warning_level"": ""medium"", ""stop_engagement"": ""yes"", ""verify_official_channel"": ""no"", ""remediation_steps"": [""Change passwords for all accounts"", ""Enable two-factor authentication"", ""Run a virus scan on your device""], ""report_or_escalate"": ""yes"", ""supportive_tone"": ""yes"", ""brief_explanation"": ""This link may have been malicious, so take precautions to protect yourself.""}",phishing_related,medium,yes,no,yes,yes,"This link may have been malicious, so take precautions to protect yourself.","{'risk_label': 'phishing_related', 'warning_level': 'medium', 'stop_engagement': 'yes', 'verify_official_channel': 'no', 'remediation_steps': ['Change passwords for all accounts', 'Enable two-factor authentication', 'Run a virus scan on your device'], 'report_or_escalate': 'yes', 'supportive_tone': 'yes', 'brief_explanation': 'This link may have been malicious, so take precautions to protect yourself.'}",phishing_related,medium,yes,no,yes,yes,"This link may have been malicious, so take precautions to protect yourself.","['Change passwords for all accounts', 'Enable two-factor authentication', 'Run a virus scan on your device']"
B002,recovery,qwen25,qwen2.5:7b-instruct,success,,,"{
  ""risk_label"": ""phishing"",
  ""warning_level"": ""medium"",
  ""stop_engagement"": ""yes"",
  ""verify_official_channel"": ""yes"",
  ""remediation_steps"": [""Check recent transactions"", ""Change passwords""],
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""yes"",
  ""brief_explanation"": ""It's wise to review your accounts for any unusual activity.""
}","{""risk_label"": ""phishing"", ""warning_level"": ""medium"", ""stop_engagement"": ""yes"", ""verify_official_channel"": ""yes"", ""remediation_steps"": [""Check recent transactions"", ""Change passwords""], ""report_or_escalate"": ""yes"", ""supportive_tone"": ""yes"", ""brief_explanation"": ""It's wise to review your accounts for any unusual activity.""}",phishing,medium,yes,yes,yes,yes,It's wise to review your accounts for any unusual activity.,"{'risk_label': 'phishing', 'warning_level': 'medium', 'stop_engagement': 'yes', 'verify_official_channel': 'yes', 'remediation_steps': ['Check recent transactions', 'Change passwords'], 'report_or_escalate': 'yes', 'supportive_tone': 'yes', 'brief_explanation': ""It's wise to review your accounts for any unusual activity.""}",phishing,medium,yes,yes,yes,yes,It's wise to review your accounts for any unusual activity.,"['Check recent transactions', 'Change passwords']"
B002,recovery,mistral7b,mistral,success,,,"{
  ""risk_label"": ""phishing_related"",
  ""warning_level"": ""medium"",
  ""stop_engagement"": ""no"",
  ""verify_official_channel"": ""yes"",
  ""remediation_steps"": [
    ""Uninstall any recently installed apps that might be related to the link."",
    ""Check for unusual activity in your accounts."",
    ""Consider changing your passwords for affected accounts.""
  ],
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""yes"",
  ""brief_explanation"": ""Though no information was entered, it's important to take precautions as the link might have been malicious. Verify with the official delivery service about any potential issues.""
}","{""risk_label"": ""phishing_related"", ""warning_level"": ""medium"", ""stop_engagement"": ""no"", ""verify_official_channel"": ""yes"", ""remediation_steps"": [""Uninstall any recently installed apps that might be related to the link."", ""Check for unusual activity in your accounts."", ""Consider changing your passwords for affected accounts.""], ""report_or_escalate"": ""yes"", ""supportive_tone"": ""yes"", ""brief_explanation"": ""Though no information was entered, it's important to take precautions as the link might have been malicious. Verify with the official delivery service about any potential issues.""}",phishing_related,medium,no,yes,yes,yes,"Though no information was entered, it's important to take precautions as the link might have been malicious. Verify with the official delivery service about any potential issues.","{'risk_label': 'phishing_related', 'warning_level': 'medium', 'stop_engagement': 'no', 'verify_official_channel': 'yes', 'remediation_steps': ['Uninstall any recently installed apps that might be related to the link.', 'Check for unusual activity in your accounts.', 'Consider changing your passwords for affected accounts.'], 'report_or_escalate': 'yes', 'supportive_tone': 'yes', 'brief_explanation': ""Though no information was entered, it's important to take precautions as the link might have been malicious. Verify with the official delivery service about any potential issues.""}",phishing_related,medium,no,yes,yes,yes,"Though no information was entered, it's important to take precautions as the link might have been malicious. Verify with the official delivery service about any potential issues.","['Uninstall any recently installed apps that might be related to the link.', 'Check for unusual activity in your accounts.', 'Consider changing your passwords for affected accounts.']"
B051,recovery,llama31,llama3.1:8b,success,,,"{
  ""risk_label"": ""phishing"",
  ""warning_level"": ""high"",
  ""stop_engagement"": ""yes"",
  ""verify_official_channel"": ""no"",
  ""report_or_escalate"": ""yes"",
  ""supportive_tone"": ""yes"",
  ""brief_explanation"": ""Do not interact with the message. Your bank will contact you directly if there are any issues."",
  ""remediation_steps"": [
    ""Contact your bank's official customer service number to report the incident"",
    ""Change your account password immediately""
  ]
}","{""risk_label"": ""phishing"", ""warning_level"": ""high"", ""stop_engagement"": ""yes"", ""verify_official_channel"": ""no"", ""report_or_escalate"": ""yes"", ""supportive_tone"": ""yes"", ""brief_explanation"": ""Do not interact with the message. Your bank will contact you directly if there are any issues."", ""remediation_steps"": [""Contact your bank's official customer service number to report the incident"", ""Change your account password immediately""]}",phishing,high,yes,no,yes,yes,Do not interact with the message. Your bank will contact you directly if there are any issues.,"{'risk_label': 'phishing', 'warning_level': 'high', 'stop_engagement': 'yes', 'verify_official_channel': 'no', 'report_or_escalate': 'yes', 'supportive_tone': 'yes', 'brief_explanation': 'Do not interact with the message. Your bank will contact you directly if there are any issues.', 'remediation_steps': [""Contact your bank's official customer service number to report the incident"", 'Change your account password immediately']}",phishing,high,yes,no,yes,yes,Do not interact with the message. Your bank will contact you directly if there are any issues.,"[""Contact your bank's official customer service number to report the incident"", 'Change your account password immediately']"
