prompt_id,task,scenario_group,comparison_group,polarity,message_channel,sender_context,message_text,ground_truth_label,primary_signal,secondary_signal,difficulty,notes
A001,detection,bank_alert_phish,det_bank_alert_phish,phishing,email,"Claims to be from a bank","Your account has been limited due to unusual activity. Verify your details immediately using the secure link below to avoid suspension.",phishing,urgency,credential_request,medium,"bank phishing 1"
A002,detection,bank_alert_phish,det_bank_alert_phish,phishing,email,"Claims to be from a bank security team","We detected suspicious transactions on your account. Confirm your login and card information now to avoid a permanent block.",phishing,threat_of_loss,credential_request,medium,"bank phishing 2"
A003,detection,bank_alert_phish,det_bank_alert_phish,phishing,sms,"Claims to be from a bank","Bank alert: your online access will be suspended today unless you confirm your customer profile through the link provided.",phishing,urgency,account_verification_link,medium,"bank phishing 3"
A004,detection,bank_alert_phish,det_bank_alert_phish,phishing,email,"Claims to be from a bank fraud unit","A new device attempted to access your account. To cancel this action, sign in through the secure verification link now.",phishing,security_scare,embedded_link,medium,"bank phishing 4"
A005,detection,bank_alert_phish,det_bank_alert_phish,phishing,email,"Claims to be from a bank","Your account requires immediate identity confirmation. Failure to complete verification in 30 minutes may result in service interruption.",phishing,deadline_pressure,identity_verification,hard,"bank phishing 5"
A006,detection,bank_alert_phish,det_bank_alert_phish,phishing,sms,"Claims to be from a bank","Important: suspicious payment flagged. Review and confirm your banking details at once to prevent account restriction.",phishing,urgent_review,credential_request,medium,"bank phishing 6"
A007,detection,bank_alert_phish,det_bank_alert_phish,phishing,email,"Claims to be from a bank support desk","We are upgrading account security. Please reconfirm your username, password, and mobile number to maintain uninterrupted access.",phishing,security_upgrade,credential_collection,hard,"bank phishing 7"
A008,detection,bank_alert_phish,det_bank_alert_phish,phishing,email,"Claims to be from a bank","A charge was attempted from another country. If this was not you, open the attached form and verify your account immediately.",phishing,fraud_alert,attachment_request,hard,"bank phishing 8"
A009,detection,bank_alert_phish,det_bank_alert_phish,phishing,sms,"Claims to be from a bank","Notice: your card has been temporarily frozen. Restore service now by confirming your account information through the secure portal.",phishing,service_block,portal_link,medium,"bank phishing 9"
A010,detection,bank_alert_phish,det_bank_alert_phish,phishing,email,"Claims to be from a bank","Your banking profile is incomplete after our recent security update. Please complete re-validation to prevent login suspension.",phishing,account_issue,profile_verification,hard,"bank phishing 10"

A011,detection,delivery_phish,det_delivery_phish,phishing,sms,"Claims to be from a parcel company","Your parcel could not be delivered today. Reschedule and pay the small redelivery fee using the link below.",phishing,delivery_problem,payment_request,medium,"delivery phishing 1"
A012,detection,delivery_phish,det_delivery_phish,phishing,email,"Claims to be from a courier","We attempted delivery but your address details are incomplete. Update your address and processing fee now to avoid return to sender.",phishing,address_issue,payment_request,medium,"delivery phishing 2"
A013,detection,delivery_phish,det_delivery_phish,phishing,sms,"Claims to be from a postal service","Package held at sorting centre. Confirm shipment details within 12 hours or your item will be returned.",phishing,time_pressure,link_to_confirm,medium,"delivery phishing 3"
A014,detection,delivery_phish,det_delivery_phish,phishing,email,"Claims to be from a parcel company","Your shipment requires customs verification. Submit payment and personal details through the secure tracking page today.",phishing,customs_fee,personal_details_request,hard,"delivery phishing 4"
A015,detection,delivery_phish,det_delivery_phish,phishing,sms,"Claims to be from a courier","Missed delivery notice: to arrange same-day redelivery, click the tracking link and verify your contact information.",phishing,missed_delivery,tracking_link,medium,"delivery phishing 5"
A016,detection,delivery_phish,det_delivery_phish,phishing,email,"Claims to be from a shipping provider","An unpaid handling fee is blocking dispatch of your parcel. Complete payment now to release the package.",phishing,fee_demand,payment_link,medium,"delivery phishing 6"
A017,detection,delivery_phish,det_delivery_phish,phishing,sms,"Claims to be from a postal service","Your package label is unreadable. Confirm full name, phone number, and address to proceed with delivery.",phishing,data_collection,address_confirmation,medium,"delivery phishing 7"
A018,detection,delivery_phish,det_delivery_phish,phishing,email,"Claims to be from a parcel depot","Storage charges apply from tonight. Pay now and confirm delivery details to prevent cancellation of your shipment.",phishing,storage_charge,urgency,hard,"delivery phishing 8"
A019,detection,delivery_phish,det_delivery_phish,phishing,sms,"Claims to be from a courier","Delivery pending. Your parcel cannot be handed over until a small customs charge is settled through the secure link.",phishing,customs_charge,secure_link_claim,medium,"delivery phishing 9"
A020,detection,delivery_phish,det_delivery_phish,phishing,email,"Claims to be from a shipping company","Final reminder: your parcel is awaiting action. Open the attached invoice and complete the required payment today.",phishing,final_reminder,attachment_invoice,hard,"delivery phishing 10"

A021,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from university IT","Your university mailbox has exceeded its quota. Re-validate your student login immediately to avoid account deactivation.",phishing,account_problem,credential_request,medium,"university phishing 1"
A022,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from university IT","We are migrating student accounts to a new system. Confirm your username and password through the portal below.",phishing,system_migration,login_portal,medium,"university phishing 2"
A023,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from university admin","Your course enrolment records require verification. Sign in using the link below to avoid timetable disruption.",phishing,administrative_issue,sign_in_link,medium,"university phishing 3"
A024,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from university security","A suspicious sign-in was detected on your student account. Verify your identity and password now to retain access.",phishing,security_alert,identity_check,medium,"university phishing 4"
A025,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from learning platform support","Your LMS access is expiring. Renew your login credentials immediately or you may lose access to assessment materials.",phishing,loss_of_access,credential_renewal,hard,"university phishing 5"
A026,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from university library","Library account issue detected. Re-enter your student credentials to continue using digital resources.",phishing,service_issue,credentials,medium,"university phishing 6"
A027,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from university IT","Due to a recent security update, all students must log in again through the account verification page within 24 hours.",phishing,security_update,verification_page,medium,"university phishing 7"
A028,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from exam office","Exam timetable confirmation requires immediate student sign-in. Use the secure verification form below.",phishing,exam_pressure,secure_form_claim,hard,"university phishing 8"
A029,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from university helpdesk","Your student email will be archived unless you confirm ownership today by entering your password at the portal.",phishing,deadline,password_entry,medium,"university phishing 9"
A030,detection,university_login_phish,det_university_login_phish,phishing,email,"Claims to be from student services","Student support access has been paused due to incomplete account validation. Confirm your identity now to reactivate services.",phishing,account_validation,identity_request,hard,"university phishing 10"

A031,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from a recruiter","Congratulations. You have been shortlisted for a remote role with high weekly pay. Complete the hiring form and provide your details today.",phishing,too_good_to_be_true,personal_data_request,medium,"job phishing 1"
A032,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from HR","We reviewed your profile and want to fast-track your employment. Submit your identification and bank details to process onboarding.",phishing,bank_details_request,identity_docs,hard,"job phishing 2"
A033,detection,job_offer_phish,det_job_offer_phish,phishing,sms,"Claims to be from a recruiter","Immediate start job available. Confirm interest and send full name, address, and date of birth to secure the position.",phishing,data_collection,urgency,medium,"job phishing 3"
A034,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from a company recruiter","Your application was accepted. Pay a small background-check fee now to receive the contract.",phishing,fee_request,advance_payment,medium,"job phishing 4"
A035,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from recruitment staff","Remote administrative assistant needed urgently. No interview required. Sign the employment form and verify your account immediately.",phishing,no_interview,verification_request,hard,"job phishing 5"
A036,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from a talent agency","You have been selected for a flexible role. To release your starter pack, confirm payroll details through the secure link.",phishing,payroll_details,link_request,medium,"job phishing 6"
A037,detection,job_offer_phish,det_job_offer_phish,phishing,sms,"Claims to be from HR","Your resume has been approved for a home-based position. Respond now with your ID and banking information for same-day processing.",phishing,fast_processing,sensitive_info_request,hard,"job phishing 7"
A038,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from a recruiter","We can guarantee placement if you complete the attached registration document and onboarding payment today.",phishing,guaranteed_job,attachment_plus_fee,hard,"job phishing 8"
A039,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from a company hiring manager","Your profile matched an urgent vacancy. Verify your mobile number, password, and payment details to confirm employment.",phishing,credential_and_payment_request,multi_data_request,hard,"job phishing 9"
A040,detection,job_offer_phish,det_job_offer_phish,phishing,email,"Claims to be from a recruiter","Final hiring step: update your candidate profile and enter your banking details to receive the offer letter.",phishing,final_step_bait,banking_details,medium,"job phishing 10"

A041,detection,government_tax_phish,det_government_tax_phish,phishing,email,"Claims to be from tax office","You are eligible for an urgent tax refund. Confirm your identity and bank details today to receive payment.",phishing,refund_bait,bank_details_request,medium,"government phishing 1"
A042,detection,government_tax_phish,det_government_tax_phish,phishing,sms,"Claims to be from government agency","Tax notice: unpaid balance detected. Settle immediately through the government payment portal or penalties may apply.",phishing,penalty_threat,payment_portal,medium,"government phishing 2"
A043,detection,government_tax_phish,det_government_tax_phish,phishing,email,"Claims to be from tax authority","A review of your records requires instant verification. Log in through the secure portal below to avoid account restrictions.",phishing,official_sounding,secure_portal_claim,medium,"government phishing 3"
A044,detection,government_tax_phish,det_government_tax_phish,phishing,email,"Claims to be from benefits office","Your benefit payment has been paused. Reconfirm your personal and banking information within 24 hours.",phishing,benefit_interruption,personal_info_request,medium,"government phishing 4"
A045,detection,government_tax_phish,det_government_tax_phish,phishing,email,"Claims to be from revenue department","A refund of overpaid tax is waiting. Complete the attached refund claim form and submit banking details immediately.",phishing,refund_offer,attachment_form,hard,"government phishing 5"
A046,detection,government_tax_phish,det_government_tax_phish,phishing,sms,"Claims to be from a government office","Final warning: unresolved tax matter. Click the link and confirm your identity before enforcement action begins.",phishing,fear_appeal,identity_confirmation,hard,"government phishing 6"
A047,detection,government_tax_phish,det_government_tax_phish,phishing,email,"Claims to be from official services","Your record must be updated for compliance. Enter your login details and ID number using the portal below.",phishing,compliance_pressure,login_and_id_request,hard,"government phishing 7"
A048,detection,government_tax_phish,det_government_tax_phish,phishing,email,"Claims to be from tax support","We attempted to issue your refund but your account could not be validated. Re-enter your information now.",phishing,refund_problem,information_reentry,medium,"government phishing 8"
A049,detection,government_tax_phish,det_government_tax_phish,phishing,sms,"Claims to be from a tax agency","Your tax statement is overdue. Resolve now by reviewing the secure document and confirming payment details.",phishing,overdue_notice,document_link,medium,"government phishing 9"
A050,detection,government_tax_phish,det_government_tax_phish,phishing,email,"Claims to be from a government payment team","Immediate action required: your taxpayer account has been suspended pending verification of identity and banking information.",phishing,suspension_threat,banking_verification,hard,"government phishing 10"

A051,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate informational bank notice","We noticed a login from a new device. You can review recent activity by signing in through the official banking app or website.",legitimate,security_notice,no_direct_link,easy,"bank legit 1"
A052,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate bank service notice","Scheduled maintenance will affect online banking this Sunday between 2 am and 4 am. No action is required from you.",legitimate,service_maintenance,informational,easy,"bank legit 2"
A053,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate monthly account summary","Your monthly statement is now available in your secure message centre. Please access it through the official banking app.",legitimate,statement_notice,official_channel,easy,"bank legit 3"
A054,detection,bank_notice_legit,det_bank_notice_legit,benign,sms,"Legitimate fraud alert style message","A new card transaction was detected. If you do not recognise it, contact us using the number on the back of your card.",legitimate,contact_official_number,no_link,medium,"bank legit 4"
A055,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate account notice","We updated our privacy policy. You can read the full policy after signing in through the official website.",legitimate,policy_update,no_urgency,easy,"bank legit 5"
A056,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate bank notice","Your savings account interest rate will change next month. Please see the details in your official account inbox.",legitimate,account_information,no_sensitive_request,easy,"bank legit 6"
A057,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate banking support message","You recently changed your contact number. If you did not make this change, call our customer service team directly.",legitimate,change_confirmation,direct_contact,easy,"bank legit 7"
A058,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate product update","A new security feature is now available for your debit card. You may enable it later through your existing banking app settings.",legitimate,feature_update,no_action_pressure,easy,"bank legit 8"
A059,detection,bank_notice_legit,det_bank_notice_legit,benign,sms,"Legitimate bank reminder","Reminder: your scheduled payment will be processed tomorrow. Review it anytime in your official banking app.",legitimate,payment_reminder,no_link,easy,"bank legit 9"
A060,detection,bank_notice_legit,det_bank_notice_legit,benign,email,"Legitimate service communication","Your request to increase your transfer limit is being processed. We will notify you once it is complete.",legitimate,request_update,no_credentials,easy,"bank legit 10"

A061,detection,delivery_notice_legit,det_delivery_notice_legit,benign,email,"Legitimate courier update","Your parcel is on the way and is expected tomorrow. You can track it using the official courier app or website.",legitimate,tracking_update,official_channel,easy,"delivery legit 1"
A062,detection,delivery_notice_legit,det_delivery_notice_legit,benign,sms,"Legitimate parcel notification","Your delivery is scheduled for today between 1 pm and 4 pm. If unavailable, reschedule through the official app.",legitimate,delivery_window,no_fee_request,easy,"delivery legit 2"
A063,detection,delivery_notice_legit,det_delivery_notice_legit,benign,email,"Legitimate shipping notice","Your item has been dispatched. Please check the retailer or courier account you already use for live tracking.",legitimate,dispatch_notice,no_suspicious_request,easy,"delivery legit 3"
A064,detection,delivery_notice_legit,det_delivery_notice_legit,benign,email,"Legitimate courier communication","We attempted delivery today. No payment is required. You may arrange another attempt through your existing account.",legitimate,missed_delivery,no_payment_request,medium,"delivery legit 4"
A065,detection,delivery_notice_legit,det_delivery_notice_legit,benign,sms,"Legitimate parcel service message","Your parcel has arrived at the pickup point. Please bring valid ID when collecting it during opening hours.",legitimate,pickup_notice,no_link,easy,"delivery legit 5"
A066,detection,delivery_notice_legit,det_delivery_notice_legit,benign,email,"Legitimate tracking update","The sender requested signature on delivery. You can see delivery preferences in your official parcel account.",legitimate,delivery_preferences,official_account,easy,"delivery legit 6"
A067,detection,delivery_notice_legit,det_delivery_notice_legit,benign,email,"Legitimate courier notice","Weather conditions may delay your delivery by one day. You do not need to take any action.",legitimate,delay_notice,informational,easy,"delivery legit 7"
A068,detection,delivery_notice_legit,det_delivery_notice_legit,benign,sms,"Legitimate delivery reminder","Your package is out for delivery. Please ensure someone is available at the address if a signature is needed.",legitimate,out_for_delivery,no_sensitive_request,easy,"delivery legit 8"
A069,detection,delivery_notice_legit,det_delivery_notice_legit,benign,email,"Legitimate retailer shipping message","Part of your order has shipped separately. Updated tracking is available through your purchase account.",legitimate,order_update,no_urgency,easy,"delivery legit 9"
A070,detection,delivery_notice_legit,det_delivery_notice_legit,benign,email,"Legitimate parcel company message","Your return parcel has been received and is being processed. Refund details will appear in your retailer account.",legitimate,return_update,no_credentials,easy,"delivery legit 10"

A071,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate university IT notice","Planned maintenance will affect student email on Saturday morning. Please save your work in advance.",legitimate,maintenance_notice,informational,easy,"university legit 1"
A072,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate teaching notice","Your tutorial room has changed for next week. Check the official timetable portal for the updated location.",legitimate,schedule_update,official_portal_reference,easy,"university legit 2"
A073,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate university communication","Semester census date is approaching. Please review your enrolment through the official student portal if needed.",legitimate,administrative_reminder,no_password_request,easy,"university legit 3"
A074,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate LMS support notice","A system update was completed overnight. If you notice issues, contact the helpdesk through normal channels.",legitimate,system_update,direct_helpdesk_reference,easy,"university legit 4"
A075,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate library message","Your borrowed item is due next week. Renew it through the library portal if you need more time.",legitimate,due_date_reminder,library_portal,easy,"university legit 5"
A076,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate exam office notice","Exam details are now available. Please review them by signing in to the official student system you normally use.",legitimate,exam_information,normal_sign_in_reference,easy,"university legit 6"
A077,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate university admin message","We have updated the student handbook. You may read it online through the university website.",legitimate,policy_update,no_immediate_action,easy,"university legit 7"
A078,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate student support message","Appointments are available with student wellbeing services this month. Bookings can be made via the official support page.",legitimate,service_information,no_credentials,easy,"university legit 8"
A079,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate faculty announcement","A guest lecture has been added to this week's schedule. Attendance details are posted in the course site.",legitimate,event_notice,course_site_reference,easy,"university legit 9"
